疾病名称	代码	父代码
未特指的类圆线虫病	B78.9	B78
类圆线虫病	B78.900	B78
粪类圆线虫感染	B78.901	B78
类圆线虫病性肾小球病变	B78.902+N08.0*	B78.902+N08
	B79	
	鞭虫病	
鞭虫病	B79	
鞭虫病	B79.x00	B79
	B80	
	蛲虫病	
蛲虫病	B80	
蛲虫病	B80.x00	B80
	B81	
	其他肠道蠕虫病，不可归类在他处者	
其他肠道蠕虫病，不可归类在他处者	B81	
异尖线虫病	B81.0	B81
异尖线虫病	B81.000	B81
肠道毛细线虫病	B81.1	B81
肠道毛细线虫病	B81.100	B81
毛圆线虫病	B81.2	B81
毛圆线虫病	B81.200	B81
肠道血管圆线虫病	B81.3	B81
肠道血管圆线虫病	B81.300	B81
混合型肠道蠕虫病	B81.4	B81
混合型肠道蠕虫病	B81.400	B81
其他特指的肠道蠕虫病	B81.8	B81
肠道蠕虫病，其他特指的	B81.800	B81
结节线虫病	B81.800x001	B81
三齿线虫病	B81.800x002	B81
食道口线虫病	B81.801	B81
缩小三齿线虫病	B81.802	B81
	B82	
	未特指的肠道寄生虫病	
未特指的肠道寄生虫病	B82	
未特指的肠道蠕虫病	B82.0	B82
肠道蠕虫病	B82.000	B82
未特指的肠道寄生虫病	B82.9	B82
肠道寄生虫病	B82.900	B82
肠寄生虫性脓肿	B82.901	B82
	B83	
	其他蠕虫病	
其他蠕虫病	B83	
内脏幼虫移行症	B83.0	B83
内脏幼虫移行症	B83.000	B83
内脏蠕虫蚴移行症	B83.000x001	B83
弓蛔虫病	B83.000x002	B83
颚口线虫病	B83.1	B83
颚口线虫病	B83.100	B83
广州副圆线虫引起的血管圆线虫病	B83.2	B83
广州副圆线虫引起的血管圆线虫病	B83.200	B83
广州管圆线虫病	B83.200x001	B83
广州管圆线虫病性脑炎	B83.200x003	B83
广州血管圆线虫病	B83.201	B83
嗜酸细胞性脑膜脑炎	B83.202+G05.2*	B83.202+G05
比翼（线虫）病	B83.3	B83
比翼（线虫）病	B83.300	B83
内部水蛭病	B83.4	B83
内部水蛭病	B83.400	B83
其他特指的蠕虫病	B83.8	B83
蠕虫病，其他特指的	B83.800	B83
棘头虫病	B83.800x001	B83
美丽筒线虫病	B83.800x002	B83
肝毛细线虫病	B83.800x003	B83
后圆线虫病	B83.800x004	B83
结膜吸吮线虫病	B83.800x005	B83
管圆线虫病	B83.800x006	B83
腹部管圆线虫病	B83.800x007	B83
肾膨结线虫病	B83.800x008	B83
猪巨吻棘头虫病	B83.800x009	B83
未特指的蠕虫病	B83.9	B83
蠕虫病	B83.900	B83
	B85	
	虱病和阴虱病	
虱病和阴虱病	B85	
头虱引起的虱病	B85.0	B85
头虱引起的虱病	B85.000	B85
体虱引起的虱病	B85.1	B85
体虱引起的虱病	B85.100	B85
未特指的虱病	B85.2	B85
虱病	B85.200	B85
阴虱病	B85.3	B85
阴虱病	B85.300	B85
混合型虱病和阴虱病	B85.4	B85
混合型虱病和阴虱病	B85.400	B85
	B86	
	疥疮	
疥疮	B86	
疥疮	B86.x00	B86
绵羊疥疮	B86.x00x003	B86
牛疥疮	B86.x00x004	B86
犬疥疮	B86.x00x005	B86
猪疥疮	B86.x00x006	B86
动物疥疮	B86.x00x007	B86
	B87	
	蝇蛆病	
蝇蛆病	B87	
皮肤蝇蛆病	B87.0	B87
皮肤蝇蛆病	B87.000x001+L99.8*	B87.000x001+L99
伤口蝇蛆病	B87.1	B87
伤口蝇蛆病	B87.100	B87
眼蝇蛆病	B87.2	B87
眼蝇蛆病	B87.200x001+H58.8*	B87.200x001+H58
鼻咽蝇蛆病	B87.3	B87
鼻咽蝇蛆病	B87.300	B87
喉蝇蛆病	B87.300x002+J99.8*	B87.300x002+J99
耳蝇蛆病	B87.4	B87
耳蝇蛆病	B87.400x001+H94.8*	B87.400x001+H94
其他部位的蝇蛆病	B87.8	B87
蝇蛆病，其他部位的	B87.800	B87
泌尿生殖道蝇蛆病	B87.800x001	B87
肠蝇蛆病	B87.800x002+K93.8*	B87.800x002+K93
未特指的蝇蛆病	B87.9	B87
蝇蛆病	B87.900	B87
	B88	
	其他病虫侵染	
其他病虫侵染	B88	
其他螨病	B88.0	B88
螨病，其他的	B88.000	B88
螨虫病	B88.000x002	B88
蠕形螨病	B88.000x003	B88
革螨皮炎	B88.000x004+L99.8*	B88.000x004+L99
恙螨皮炎	B88.000x006+L99.8*	B88.000x006+L99
螨性皮炎	B88.001+L99.8*	B88.001+L99
潜蚤病[沙蚤侵染]	B88.1	B88
潜蚤病[沙蚤侵染]	B88.100	B88
其他节肢动物侵染	B88.2	B88
节肢动物侵染，其他的	B88.200	B88
肠蜣螂病	B88.200x001	B88
外部水蛭病	B88.3	B88
外部水蛭病	B88.300	B88
其他特指的病虫侵染	B88.8	B88
病虫侵染，其他特指的	B88.800	B88
舌形虫病	B88.800x001	B88
蛇舌状虫病	B88.800x002	B88
蚰蜒皮炎	B88.800x004	B88
未特指的病虫侵染	B88.9	B88
病虫侵染	B88.900	B88
皮肤病虫侵染	B88.900x001	B88
螨侵染	B88.900x002	B88
皮肤寄生虫侵染	B88.900x003	B88
	B89	
	未特指的寄生虫病	
未特指的寄生虫病	B89	
寄生虫病	B89.x00	B89
寄生虫病并发肌病	B89.x00x002+G73.4*	B89.x00x002+G73
颅内寄生虫感染	B89.x01	B89
眼眶寄生虫病	B89.x02+H06.1*	B89.x02+H06
	B90	
	结核病后遗症	
结核病后遗症	B90	
中枢神经系统结核的后遗症	B90.0	B90
中枢神经系统结核的后遗症	B90.000	B90
陈旧性结核性脑膜炎	B90.001	B90
结核性脑膜炎后遗症	B90.002	B90
尿生殖系结核的后遗症	B90.1	B90
泌尿生殖系结核的后遗症	B90.100	B90
陈旧性肾结核	B90.101	B90
肾自截	B90.102+N29.1*	B90.102+N29
骨和关节结核的后遗症	B90.2	B90
骨和关节结核的后遗症	B90.200	B90
陈旧性关节结核	B90.200x002	B90
陈旧性脊柱结核	B90.200x003	B90
陈旧性骨关节结核病	B90.201	B90
陈旧性骨结核病	B90.202	B90
其他器官结核的后遗症	B90.8	B90
器官结核的后遗症,其他的	B90.800	B90
陈旧性肠结核	B90.800x004	B90
陈旧性支气管淋巴结核	B90.800x005	B90
陈旧性心包结核	B90.800x006	B90
陈旧性颈淋巴结核	B90.801	B90
陈旧性肠系膜淋巴结核	B90.802	B90
陈旧性腹腔结核	B90.803	B90
结核性皮肤瘢痕	B90.804	B90
呼吸道结核和未特指结核的后遗症	B90.9	B90
呼吸道结核和结核的后遗症	B90.900	B90
陈旧性支气管结核	B90.901	B90
陈旧性肺结核	B90.902	B90
陈旧性胸膜结核	B90.903	B90
陈旧性纵隔结核	B90.904	B90
	B91	
	脊髓灰质炎的后遗症	
脊髓灰质炎的后遗症	B91	
脊髓灰质炎的后遗症	B91.x00	B91
	B92	
	麻风的后遗症	
麻风的后遗症	B92	
麻风的后遗症	B92.x00	B92
	B94	
	其他和未特指的传染病和寄生虫病的后遗症	
其他和未特指的传染病和寄生虫病的后遗症	B94	
沙眼的后遗症	B94.0	B94
沙眼的后遗症	B94.000	B94
病毒性脑炎的后遗症	B94.1	B94
病毒性脑炎的后遗症	B94.100	B94
流行性乙型脑炎后遗症	B94.101	B94
病毒性肝炎的后遗症	B94.2	B94
病毒性肝炎的后遗症	B94.200	B94
肝炎后综合征	B94.201	B94
其他特指传染病和寄生虫病的后遗症	B94.8	B94
传染病和寄生虫病的后遗症，其他特指的	B94.800	B94
破伤风后遗症	B94.800x001	B94
流行性脑脊髓膜炎后遗症	B94.800x003	B94
带状疱疹后遗症	B94.801	B94
天花后遗症	B94.802	B94
未特指的传染病或寄生虫病的后遗症	B94.9	B94
传染病或寄生虫病的后遗症	B94.900	B94
	B95	
	链球菌和葡萄球菌作为分类于其他章疾病的原因	
链球菌和葡萄球菌作为分类于其他章疾病的原因	B95	
A族链球菌作为分类于其他章疾病的原因	B95.0	B95
A族链球菌作为分类于其他章疾病的原因	B95.000	B95
B族链球菌作为分类于其他章疾病的原因	B95.1	B95
B族链球菌作为分类于其他章疾病的原因	B95.100	B95
D族链球菌和肠球菌作为分类于其他章疾病的原因	B95.2	B95
D组链球菌和肠球菌疾病作为其他章节疾病分类的原因	B95.200	B95
肺炎链球菌作为分类于其他章疾病的原因	B95.3	B95
肺炎链球菌作为分类于其他章疾病的原因	B95.300	B95
其他链球菌作为分类于其他章疾病的原因	B95.4	B95
链球菌作为分类于其他章疾病的原因，其他的	B95.400	B95
未特指的链球菌作为分类于其他章疾病的原因	B95.5	B95
链球菌作为分类于其他章疾病的原因	B95.500	B95
金黄色葡萄球菌作为分类于其他章疾病的原因	B95.6	B95
金黄色葡萄球菌作为分类于其他章疾病的原因	B95.600	B95
其他葡萄球菌作为分类于其他章疾病的原因	B95.7	B95
葡萄球菌，其他的，作为分类于其他章疾病的原因	B95.700	B95
未特指的葡萄球菌作为分类于其他章疾病的原因	B95.8	B95
葡萄球菌作为分类于其他章疾病的原因	B95.800	B95
	B96	
	其他特指的细菌性病原体作为疾病分类于其他章节的原因	
其他特指的细菌性病原体作为疾病分类于其他章节的原因	B96	
肺炎支原体作为疾病分类于其他章的原因	B96.0	B96
肺炎支原体作为分类于其他章疾病的原因	B96.000	B96
肺炎杆菌作为疾病分类于其他章的原因	B96.1	B96
肺炎杆菌作为分类于其他章疾病的原因	B96.100	B96
大肠杆菌作为疾病分类于其他章的原因	B96.2	B96
大肠杆菌作为分类于其他章疾病的原因	B96.200	B96
流感嗜血杆菌作为疾病分类于其他章的原因	B96.3	B96
流感嗜血杆菌作为分类于其他章疾病的原因	B96.300	B96
变形菌（奇异）（摩根）作为疾病分类于其他章的原因	B96.4	B96
变形菌（奇异）（摩根）作为分类于其他章的疾病的原因	B96.400	B96
假单胞菌属（铜绿）作为疾病分类于其他章的原因	B96.5	B96
假单胞菌属（铜绿）作为分类于其他章疾病的原因	B96.500	B96
绿脓杆菌感染	B96.501	B96
脆弱（微小）杆菌作为疾病分类于其他章的原因	B96.6	B96
脆弱（微小）杆菌作为分类于其他章疾病的原因	B96.600	B96
产气荚膜梭状芽胞杆菌作为疾病分类于其他章的原因	B96.7	B96
产气荚膜梭状芽胞杆菌作为分类于其他章疾病的原因	B96.700	B96
其他特指的细菌性病原体作为疾病分类于其他章的原因	B96.8	B96
细菌性病原体作为分类于其他章疾病的原因，其他特指的	B96.800	B96
难辨梭状芽胞杆菌感染	B96.801	B96
	B97	
	病毒性病原体作为疾病分类于其他章的原因	
病毒性病原体作为疾病分类于其他章的原因	B97	
腺病毒作为疾病分类于其他章的原因	B97.0	B97
腺病毒作为分类于其他章疾病的原因	B97.000	B97
肠病毒作为疾病分类于其他章疾病的原因	B97.1	B97
肠病毒作为分类于其他章疾病的原因	B97.100	B97
冠状病毒作为疾病分类于其他章的原因	B97.2	B97
冠状病毒作为分类于其他章疾病的原因	B97.200	B97
反转录病毒作为疾病分类于其他章的原因	B97.3	B97
反转录病毒作为分类于其他章疾病的原因	B97.300	B97
呼吸道合胞体病毒作为疾病分类于其他章的原因	B97.4	B97
呼吸道合胞体病毒作为分类于其他章疾病的原因	B97.400	B97
呼肠孤病毒作为疾病分类于其他章疾病的原因	B97.5	B97
呼肠孤病毒作为分类于其他章疾病的原因	B97.500	B97
细小病毒作为疾病分类于其他章的原因	B97.6	B97
细小病毒作为分类于其他章疾病的原因	B97.600	B97
乳头状瘤病毒作为疾病分类于其他章的原因	B97.7	B97
乳头状瘤病毒作为分类于其他章疾病的原因	B97.700	B97
其他病毒性病原体作为疾病分类于其他章疾病的原因	B97.8	B97
病毒性病原体，其他的作为分类于其他章疾病的原因	B97.800	B97
	B98	
	其他指定的传染病原作为疾病分类于其他章的原因	
其他指定的传染病原作为疾病分类于其他章的原因	B98	
幽门螺杆菌[H.pylori]作为疾病分类于其他章的原因	B98.0	B98
幽门螺杆菌作为其他章节疾病分类的原因	B98.000	B98
创伤弧菌作为分类于其他章疾病的原因	B98.1	B98
创伤弧菌作为其他章节的疾病分类的原因	B98.100	B98
	C00	
	唇恶性肿瘤	
唇恶性肿瘤	C00	
外上唇恶性肿瘤	C00.0	C00
外上唇恶性肿瘤	C00.000	C00
外上唇口红区恶性肿瘤	C00.001	C00
外上唇唇红缘恶性肿瘤	C00.002	C00
外下唇恶性肿瘤	C00.1	C00
外下唇恶性肿瘤	C00.100	C00
外下唇口红区恶性肿瘤	C00.101	C00
外下唇唇红缘恶性肿瘤	C00.102	C00
外唇未特指的恶性肿瘤	C00.2	C00
外唇的恶性肿瘤	C00.200	C00
外唇唇红缘恶性肿瘤	C00.200x002	C00
上唇内面恶性肿瘤	C00.3	C00
上唇内面恶性肿瘤	C00.300	C00
上唇内面颊侧面恶性肿瘤	C00.301	C00
上唇内面系带恶性肿瘤	C00.302	C00
上唇内面黏膜恶性肿瘤	C00.303	C00
上唇内面口腔面恶性肿瘤	C00.304	C00
下唇内面恶性肿瘤	C00.4	C00
下唇内面恶性肿瘤	C00.400	C00
下唇内面颊侧面恶性肿瘤	C00.401	C00
下唇内面系带恶性肿瘤	C00.402	C00
下唇内面黏膜恶性肿瘤	C00.403	C00
下唇内面口腔面恶性肿瘤	C00.404	C00
唇内面未特指的恶性肿瘤	C00.5	C00
唇内面的恶性肿瘤	C00.500	C00
唇内面黏膜恶性肿瘤	C00.500x002	C00
唇内面口腔面恶性肿瘤	C00.500x003	C00
唇内面系带恶性肿瘤	C00.500x004	C00
唇内面颊侧面恶性肿瘤	C00.500x005	C00
唇连合的恶性肿瘤	C00.6	C00
唇连合的恶性肿瘤	C00.600	C00
唇交搭跨越恶性肿瘤的损害	C00.8	C00
唇交搭跨越恶性肿瘤的损害	C00.800	C00
未特指的唇恶性肿瘤	C00.9	C00
唇恶性肿瘤	C00.900	C00
	C01	
	舌根恶性肿瘤	
舌根恶性肿瘤	C01	
舌根恶性肿瘤	C01.x00	C01
舌后三分之一恶性肿瘤	C01.x00x003	C01
舌根背面恶性肿瘤	C01.x01	C01
	C02	
	舌其他和未特指部位的恶性肿瘤	
舌其他和未特指部位的恶性肿瘤	C02	
舌背面恶性肿瘤	C02.0	C02
舌背面恶性肿瘤	C02.000	C02
舌前三分之二背面恶性肿瘤	C02.000x002	C02
舌缘恶性肿瘤	C02.1	C02
舌缘恶性肿瘤	C02.100	C02
舌尖及侧缘的恶性肿瘤	C02.100x001	C02
舌尖恶性肿瘤	C02.101	C02
舌腹面恶性肿瘤	C02.2	C02
舌腹面恶性肿瘤	C02.200	C02
舌前三分之二腹面恶性肿瘤	C02.200x002	C02
舌系带恶性肿瘤	C02.201	C02
舌前三分之二部位未特指的恶性肿瘤	C02.3	C02
舌前三分之二部位的恶性肿瘤	C02.300	C02
舌中三分之一恶性肿瘤	C02.300x002	C02
舌活动部分恶性肿瘤	C02.300x003	C02
舌扁桃体恶性肿瘤	C02.4	C02
舌扁桃体恶性肿瘤	C02.400	C02
舌交搭跨越恶性肿瘤的损害	C02.8	C02
舌交搭跨越恶性肿瘤的损害	C02.800	C02
未特指的舌恶性肿瘤	C02.9	C02
舌恶性肿瘤	C02.900	C02
舌多处恶性肿瘤	C02.900x002	C02
	C03	
	牙龈恶性肿瘤	
牙龈恶性肿瘤	C03	
上牙龈恶性肿瘤	C03.0	C03
上牙龈恶性肿瘤	C03.000	C03
上颌恶性肿瘤	C03.000x002	C03
上颌软组织恶性肿瘤	C03.001	C03
下牙龈恶性肿瘤	C03.1	C03
下牙龈恶性肿瘤	C03.100	C03
下颌恶性肿瘤	C03.100x002	C03
下颌软组织恶性肿瘤	C03.101	C03
未特指的牙龈恶性肿瘤	C03.9	C03
牙龈恶性肿瘤	C03.900	C03
颌结缔组织恶性肿瘤	C03.900x001	C03
颌软组织恶性肿瘤	C03.901	C03
	C04	
	口底恶性肿瘤	
口底恶性肿瘤	C04	
口底前部恶性肿瘤	C04.0	C04
口底前部恶性肿瘤	C04.000	C04
口底侧部恶性肿瘤	C04.1	C04
口底侧部恶性肿瘤	C04.100	C04
口底交搭跨越恶性肿瘤的损害	C04.8	C04
口底交搭跨越恶性肿瘤的损害	C04.800	C04
未特指的口底恶性肿瘤	C04.9	C04
口底恶性肿瘤	C04.900	C04
	C05	
	腭恶性肿瘤	
腭恶性肿瘤	C05	
硬腭恶性肿瘤	C05.0	C05
硬腭恶性肿瘤	C05.000	C05
软腭恶性肿瘤	C05.1	C05
软腭恶性肿瘤	C05.100	C05
悬雍垂恶性肿瘤	C05.2	C05
悬雍垂恶性肿瘤	C05.200	C05
腭交搭跨越恶性肿瘤的损害	C05.8	C05
腭交搭跨越恶性肿瘤的损害	C05.800	C05
未特指的腭恶性肿瘤	C05.9	C05
腭恶性肿瘤	C05.900	C05
口顶恶性肿瘤	C05.900x002	C05
	C06	
	口其他和未特指部位的恶性肿瘤	
口其他和未特指部位的恶性肿瘤	C06	
颊粘膜恶性肿瘤	C06.0	C06
颊黏膜恶性肿瘤	C06.000	C06
颊内部恶性肿瘤	C06.001	C06
口前庭恶性肿瘤	C06.1	C06
口前庭恶性肿瘤	C06.100	C06
上颊沟恶性肿瘤	C06.100x002	C06
下颊沟恶性肿瘤	C06.100x003	C06
上唇沟恶性肿瘤	C06.100x004	C06
下唇沟恶性肿瘤	C06.100x005	C06
颊龈沟恶性肿瘤	C06.101	C06
唇龈沟恶性肿瘤	C06.102	C06
磨牙后区恶性肿瘤	C06.2	C06
磨牙后区恶性肿瘤	C06.200	C06
口的其他和未特指部位交搭跨越恶性肿瘤的损害	C06.8	C06
口的其他和未特指部位交搭跨越恶性肿瘤的损害	C06.800	C06
未特指的口恶性肿瘤	C06.9	C06
口恶性肿瘤	C06.900	C06
小涎腺恶性肿瘤	C06.901	C06
口腔黏膜恶性肿瘤	C06.902	C06
	C07	
	腮腺恶性肿瘤	
腮腺恶性肿瘤	C07	
腮腺恶性肿瘤	C07.x00	C07
副腮腺恶性肿瘤	C07.x00x003	C07
	C08	
	大涎腺其他和未特指的恶性肿瘤	
大涎腺其他和未特指的恶性肿瘤	C08	
下颌下腺恶性肿瘤	C08.0	C08
下颌下腺恶性肿瘤	C08.000	C08
舌下腺恶性肿瘤	C08.1	C08
舌下腺恶性肿瘤	C08.100	C08
大涎腺交搭跨越恶性肿瘤的损害	C08.8	C08
大涎腺交搭跨越恶性肿瘤的损害	C08.800	C08
舌下腺及下颌下腺恶性肿瘤	C08.800x001	C08
未特指的大涎腺恶性肿瘤	C08.9	C08
大涎腺恶性肿瘤	C08.900	C08
唾液腺恶性肿瘤	C08.900x001	C08
	C09	
	扁桃体恶性肿瘤	
扁桃体恶性肿瘤	C09	
扁桃体窝恶性肿瘤	C09.0	C09
扁桃体窝恶性肿瘤	C09.000	C09
（前）（后）扁桃体柱恶性肿瘤	C09.1	C09
扁桃体柱恶性肿瘤（前）（后）	C09.100	C09
舌腭弓恶性肿瘤	C09.100x001	C09
前扁桃体柱恶性肿瘤	C09.100x002	C09
后扁桃体柱恶性肿瘤	C09.100x003	C09
扁桃体交搭跨越恶性肿瘤的损害	C09.8	C09
扁桃体交搭跨越恶性肿瘤的损害	C09.800	C09
未特指的扁桃体恶性肿瘤	C09.9	C09
扁桃体恶性肿瘤	C09.900	C09
咽门扁桃体恶性肿瘤	C09.901	C09
腭扁桃体恶性肿瘤	C09.902	C09
	C10	
	口咽恶性肿瘤	
口咽恶性肿瘤	C10	
会厌谷恶性肿瘤	C10.0	C10
会厌谷恶性肿瘤	C10.000	C10
会厌前面恶性肿瘤	C10.1	C10
会厌前面恶性肿瘤	C10.100	C10
会厌边缘恶性肿瘤	C10.101	C10
舌会厌褶恶性肿瘤	C10.102	C10
口咽侧壁恶性肿瘤	C10.2	C10
口咽侧壁恶性肿瘤	C10.200	C10
口咽后壁恶性肿瘤	C10.3	C10
口咽后壁恶性肿瘤	C10.300	C10
鳃裂恶性肿瘤	C10.4	C10
鳃裂恶性肿瘤	C10.400	C10
口咽交搭跨越恶性肿瘤的损害	C10.8	C10
口咽交搭跨越恶性肿瘤的损害	C10.800	C10
口咽连接部恶性肿瘤	C10.800x002	C10
未特指的口咽恶性肿瘤	C10.9	C10
口咽恶性肿瘤	C10.900	C10
	C11	
	鼻咽恶性肿瘤	
鼻咽恶性肿瘤	C11	
鼻咽上壁恶性肿瘤	C11.0	C11
鼻咽上壁恶性肿瘤	C11.000	C11
鼻咽顶恶性肿瘤	C11.001	C11
鼻咽后壁恶性肿瘤	C11.1	C11
鼻咽后壁恶性肿瘤	C11.100	C11
腺样体恶性肿瘤	C11.101	C11
咽扁桃体恶性肿瘤	C11.102	C11
鼻咽侧壁恶性肿瘤	C11.2	C11
鼻咽侧壁恶性肿瘤	C11.200	C11
罗森米窝恶性肿瘤	C11.200x002	C11
咽鼓管开口恶性肿瘤	C11.201	C11
咽隐窝恶性肿瘤	C11.202	C11
鼻咽前壁恶性肿瘤	C11.3	C11
鼻咽前壁恶性肿瘤	C11.300	C11
鼻中隔后缘恶性肿瘤	C11.300x001	C11
软腭的鼻咽后面恶性肿瘤	C11.300x004	C11
软腭的鼻咽上面恶性肿瘤	C11.300x005	C11
鼻后缘恶性肿瘤	C11.300x006	C11
鼻咽底恶性肿瘤	C11.301	C11
鼻后孔恶性肿瘤	C11.302	C11
鼻咽交搭跨越恶性肿瘤的损害	C11.8	C11
鼻咽交搭跨越恶性肿瘤的损害	C11.800	C11
鼻咽多壁恶性肿瘤	C11.801	C11
未特指的鼻咽恶性肿瘤	C11.9	C11
鼻咽恶性肿瘤	C11.900	C11
鼻咽壁恶性肿瘤	C11.901	C11
	C12	
	梨状窦恶性肿瘤	
梨状窦恶性肿瘤	C12	
梨状窦恶性肿瘤	C12.x00	C12
梨状窝恶性肿瘤	C12.x00x002	C12
	C13	
	咽下部恶性肿瘤	
咽下部恶性肿瘤	C13	
环状软骨后部恶性肿瘤	C13.0	C13
环状软骨后部恶性肿瘤	C13.000	C13
杓状会厌褶，咽下面的恶性肿瘤	C13.1	C13
杓状会厌褶，咽下面的恶性肿瘤	C13.100	C13
杓状会厌褶恶性肿瘤	C13.100x001	C13
杓状会厌褶边缘区恶性肿瘤	C13.100x002	C13
咽下面恶性肿瘤	C13.101	C13
下咽后壁恶性肿瘤	C13.2	C13
下咽后壁恶性肿瘤	C13.200	C13
下咽交搭跨越恶性肿瘤的损害	C13.8	C13
下咽交搭跨越恶性肿瘤的损害	C13.800	C13
未特指的下咽恶性肿瘤	C13.9	C13
下咽恶性肿瘤	C13.900	C13
下咽壁恶性肿瘤	C13.901	C13
	C14	
	唇、口腔和咽其他和部位不明的恶性肿瘤	
唇、口腔和咽其他和部位不明的恶性肿瘤	C14	
未特指的咽恶性肿瘤	C14.0	C14
咽恶性肿瘤	C14.000	C14
咽喉恶性肿瘤	C14.001	C14
咽侧壁恶性肿瘤	C14.002	C14
咽后壁恶性肿瘤	C14.003	C14
瓦尔代尔扁桃体环恶性肿瘤	C14.2	C14
瓦尔代尔扁桃体环恶性肿瘤	C14.200	C14
唇、口腔和咽交搭跨越恶性肿瘤的损害	C14.8	C14
唇、口腔和咽交搭跨越恶性肿瘤的损害	C14.800	C14
颊部及牙龈恶性肿瘤	C14.800x001	C14
舌根及咽部恶性肿瘤	C14.800x002	C14
舌根和咽部及喉部恶性肿瘤	C14.800x003	C14
舌部及口底恶性肿瘤	C14.800x004	C14
口腔及咽部恶性肿瘤	C14.800x005	C14
腭部及咽部恶性肿瘤	C14.800x006	C14
舌下腺及舌根恶性肿瘤	C14.800x007	C14
	C15	
	食管恶性肿瘤	
食管恶性肿瘤	C15	
颈部食管恶性肿瘤	C15.0	C15
颈部食管恶性肿瘤	C15.000	C15
胸部食管恶性肿瘤	C15.1	C15
胸部食管恶性肿瘤	C15.100	C15
食管胸上段恶性肿瘤	C15.100x002	C15
食管胸中段恶性肿瘤	C15.100x003	C15
食管胸下段恶性肿瘤	C15.100x004	C15
腹部食管恶性肿瘤	C15.2	C15
腹部食管恶性肿瘤	C15.200	C15
食管上三分之一的恶性肿瘤	C15.3	C15
食管上三分之一的恶性肿瘤	C15.300	C15
食管中三分之一的恶性肿瘤	C15.4	C15
食管中三分之一的恶性肿瘤	C15.400	C15
食管下三分之一的恶性肿瘤	C15.5	C15
食管下三分之一的恶性肿瘤	C15.500	C15
食管交搭跨越恶性肿瘤的损害	C15.8	C15
食管交搭跨越恶性肿瘤的损害	C15.800	C15
食管颈部及腹部恶性肿瘤	C15.800x001	C15
食管颈部及胸部恶性肿瘤	C15.800x002	C15
食管胸部及腹部恶性肿瘤	C15.800x003	C15
食管颈部和胸部及腹部恶性肿瘤	C15.800x004	C15
食管中上段恶性肿瘤	C15.801	C15
食管中下段恶性肿瘤	C15.802	C15
未特指的食管恶性肿瘤	C15.9	C15
食管恶性肿瘤	C15.900	C15
食管多处恶性肿瘤	C15.900x003	C15
	C16	
	胃恶性肿瘤	
胃恶性肿瘤	C16	
贲门恶性肿瘤	C16.0	C16
贲门恶性肿瘤	C16.000	C16
贲门口恶性肿瘤	C16.000x003	C16
胃角恶性肿瘤	C16.000x004	C16
食管贲门连接处恶性肿瘤	C16.001	C16
食管胃连接处恶性肿瘤	C16.002	C16
胃底恶性肿瘤	C16.1	C16
胃底恶性肿瘤	C16.100	C16
胃体恶性肿瘤	C16.2	C16
胃体恶性肿瘤	C16.200	C16
幽门窦恶性肿瘤	C16.3	C16
幽门窦恶性肿瘤	C16.300	C16
胃窦恶性肿瘤	C16.301	C16
幽门恶性肿瘤	C16.4	C16
幽门恶性肿瘤	C16.400	C16
幽门前恶性肿瘤	C16.401	C16
幽门管恶性肿瘤	C16.402	C16
未特指的胃小弯恶性肿瘤	C16.5	C16
胃小弯恶性肿瘤	C16.500	C16
未特指的胃大弯恶性肿瘤	C16.6	C16
胃大弯恶性肿瘤	C16.600	C16
胃交搭跨越恶性肿瘤的损害	C16.8	C16
胃交搭跨越恶性肿瘤的损害	C16.800	C16
胃体和胃窦及胃大弯恶性肿瘤	C16.800x002	C16
胃底及胃体恶性肿瘤	C16.800x003	C16
贲门胃底恶性肿瘤	C16.801	C16
贲门胃体恶性肿瘤	C16.802	C16
胃窦胃体恶性肿瘤	C16.803	C16
胃底胃体恶性肿瘤	C16.804	C16
未特指的胃恶性肿瘤	C16.9	C16
胃恶性肿瘤	C16.900	C16
胃多处恶性肿瘤	C16.900x003	C16
胃溃疡癌变	C16.902	C16
残胃恶性肿瘤	C16.903	C16
	C17	
	小肠恶性肿瘤	
小肠恶性肿瘤	C17	
十二指肠恶性肿瘤	C17.0	C17
十二指肠恶性肿瘤	C17.000	C17
空肠恶性肿瘤	C17.1	C17
空肠恶性肿瘤	C17.100	C17
回肠恶性肿瘤	C17.2	C17
回肠恶性肿瘤	C17.200	C17
麦克尔憩室恶性肿瘤	C17.3	C17
麦克尔憩室恶性肿瘤	C17.300	C17
小肠交搭跨越恶性肿瘤的损害	C17.8	C17
小肠交搭跨越恶性肿瘤的损害	C17.800	C17
十二指肠及空肠恶性肿瘤	C17.801	C17
未特指的小肠恶性肿瘤	C17.9	C17
小肠恶性肿瘤	C17.900	C17
小肠多处恶性肿瘤	C17.900x002	C17
	C18	
	结肠恶性肿瘤	
结肠恶性肿瘤	C18	
盲肠恶性肿瘤	C18.0	C18
盲肠恶性肿瘤	C18.000	C18
回盲部恶性肿瘤	C18.001	C18
阑尾恶性肿瘤	C18.1	C18
阑尾恶性肿瘤	C18.100	C18
升结肠恶性肿瘤	C18.2	C18
升结肠恶性肿瘤	C18.200	C18
结肠肝曲恶性肿瘤	C18.3	C18
结肠肝曲恶性肿瘤	C18.300	C18
横结肠恶性肿瘤	C18.4	C18
横结肠恶性肿瘤	C18.400	C18
结肠脾曲恶性肿瘤	C18.5	C18
结肠脾曲恶性肿瘤	C18.500	C18
